i,j,k,xi1,xi2,xi3,u1,Sig,delta,u2,u3,P_interp,Phi,resid,abs_resid
1,6,2,-0.8333333333333334,0.0,-0.6666666666666667,-2.3978952727983707,0.0,-2.414156868651151,-1.2070784343255756,1.2070784343255756,0.33333338329481144,0.16318543790952955,-0.17014794538528188,0.17014794538528188
1,6,3,-0.8333333333333334,0.0,-0.5,-2.3978952727983707,0.0,-1.6479184330021646,-0.8239592165010823,0.8239592165010823,0.33380619821110646,0.11853483288106242,-0.21527136533004404,0.21527136533004404
1,6,4,-0.8333333333333334,0.0,-0.33333333333333337,-2.3978952727983707,0.0,-1.039720770839918,-0.519860385419959,0.519860385419959,0.3346228983950499,0.11383795072873029,-0.2207849476663196,0.2207849476663196
1,6,5,-0.8333333333333334,0.0,-0.16666666666666674,-2.3978952727983707,0.0,-0.5047083549318196,-0.2523541774659098,0.2523541774659098,0.4060680787245335,0.15085061698991137,-0.2552174617346221,0.2552174617346221
1,6,6,-0.8333333333333334,0.0,0.0,-2.3978952727983707,0.0,0.0,0.0,0.0,0.46297279269477,0.23839183616117937,-0.22458095653359061,0.22458095653359061
1,6,7,-0.8333333333333334,0.0,0.16666666666666652,-2.3978952727983707,0.0,0.504708354931819,0.2523541774659095,-0.2523541774659095,0.40606807873179535,0.1498311565011461,-0.25623692223064926,0.25623692223064926
1,6,8,-0.8333333333333334,0.0,0.33333333333333326,-2.3978952727983707,0.0,1.0397207708399177,0.5198603854199588,-0.5198603854199588,0.3346228984121144,0.10688811467008077,-0.22773478374203363,0.22773478374203363
1,6,9,-0.8333333333333334,0.0,0.5,-2.3978952727983707,0.0,1.6479184330021646,0.8239592165010823,-0.8239592165010823,0.3338061982112883,0.1112209583278086,-0.22258523988347972,0.22258523988347972
1,6,10,-0.8333333333333334,0.0,0.6666666666666665,-2.3978952727983707,0.0,2.41415686865115,1.207078434325575,-1.207078434325575,0.3333333832947646,0.12503754592156208,-0.2082958373732025,0.2082958373732025
1,6,11,-0.8333333333333334,0.0,0.8333333333333333,-2.3978952727983707,0.0,3.596842909197555,1.7984214545987776,-1.7984214545987776,0.33333333333489273,0.31728858836740037,-0.016044744967492364,0.016044744967492364
1,7,1,-0.8333333333333334,0.16666666666666652,-0.8333333333333334,-2.3978952727983707,0.504708354931819,-3.596842909197556,-1.5460672771328685,2.0507756320646875,0.3333333333370166,0.3323642629278154,-0.0009690704092011893,0.0009690704092011893
1,7,2,-0.8333333333333334,0.16666666666666652,-0.6666666666666667,-2.3978952727983707,0.504708354931819,-2.414156868651151,-0.9547242568596661,1.459432611791485,0.3334554811889129,0.19473991466674845,-0.13871556652216444,0.13871556652216444
1,7,3,-0.8333333333333334,0.16666666666666652,-0.5,-2.3978952727983707,0.504708354931819,-1.6479184330021646,-0.5716050390351728,1.0763133939669918,0.3344883603979406,0.12428378297087891,-0.2102045774270617,0.2102045774270617
1,7,4,-0.8333333333333334,0.16666666666666652,-0.33333333333333337,-2.3978952727983707,0.504708354931819,-1.039720770839918,-0.26750620795404956,0.7722145628858685,0.4115453210531301,0.30498219354170975,-0.10656312751142033,0.10656312751142033
1,7,5,-0.8333333333333334,0.16666666666666652,-0.16666666666666674,-2.3978952727983707,0.504708354931819,-0.5047083549318196,-3.3306690738754696e-16,0.5047083549318193,0.4999723262710812,0.4620762524286154,-0.037896073842465794,0.037896073842465794
1,7,6,-0.8333333333333334,0.16666666666666652,0.0,-2.3978952727983707,0.504708354931819,0.0,0.2523541774659095,0.2523541774659095,0.5326888649608391,0.46248526662822065,-0.07020359833261847,0.07020359833261847
1,7,7,-0.8333333333333334,0.16666666666666652,0.16666666666666652,-2.3978952727983707,0.504708354931819,0.504708354931819,0.504708354931819,0.0,0.4999723262832609,0.43557334578618245,-0.06439898049707843,0.06439898049707843
1,7,8,-0.8333333333333334,0.16666666666666652,0.33333333333333326,-2.3978952727983707,0.504708354931819,1.0397207708399177,0.7722145628858683,-0.26750620795404934,0.41154532106182806,0.30845302491438154,-0.10309229614744653,0.10309229614744653
1,7,9,-0.8333333333333334,0.16666666666666652,0.5,-2.3978952727983707,0.504708354931819,1.6479184330021646,1.0763133939669918,-0.5716050390351728,0.334488360390506,0.1115131934134369,-0.2229751669770691,0.2229751669770691
1,7,10,-0.8333333333333334,0.16666666666666652,0.6666666666666665,-2.3978952727983707,0.504708354931819,2.41415686865115,1.4594326117914844,-0.9547242568596654,0.3334554811880525,0.23614102604248133,-0.09731445514557119,0.09731445514557119
1,7,11,-0.8333333333333334,0.16666666666666652,0.8333333333333333,-2.3978952727983707,0.504708354931819,3.596842909197555,2.050775632064687,-1.546067277132868,0.33333333333698834,0.3333317442650444,-1.589071943919329e-06,1.589071943919329e-06
1,8,1,-0.8333333333333334,0.33333333333333326,-0.8333333333333334,-2.3978952727983707,1.0397207708399177,-3.596842909197556,-1.2785610691788192,2.318281840018737,0.3333333712695109,0.30428415194089775,-0.02904921932861315,0.02904921932861315
1,8,2,-0.8333333333333334,0.33333333333333326,-0.6666666666666667,-2.3978952727983707,1.0397207708399177,-2.414156868651151,-0.6872180489056168,1.7269388197455344,0.33417667103589976,0.2734986441062418,-0.06067802692965796,0.06067802692965796
1,8,3,-0.8333333333333334,0.33333333333333326,-0.5,-2.3978952727983707,1.0397207708399177,-1.6479184330021646,-0.30409883108112346,1.343819601921041,0.3994536173413559,0.3472956510450752,-0.05215796629628072,0.05215796629628072
1,8,4,-0.8333333333333334,0.33333333333333326,-0.33333333333333337,-2.3978952727983707,1.0397207708399177,-1.039720770839918,-2.220446049250313e-16,1.0397207708399179,0.4999999982045374,0.49019765117859004,-0.009802347025947344,0.009802347025947344
1,8,5,-0.8333333333333334,0.33333333333333326,-0.16666666666666674,-2.3978952727983707,1.0397207708399177,-0.5047083549318196,0.267506207954049,0.7722145628858686,0.5881300359384479,0.6498033786010908,0.061673342662642905,0.061673342662642905
1,8,6,-0.8333333333333334,0.33333333333333326,0.0,-2.3978952727983707,1.0397207708399177,0.0,0.5198603854199588,0.5198603854199588,0.664142119955163,0.6666656819241321,0.002523561968969079,0.002523561968969079
1,8,7,-0.8333333333333334,0.33333333333333326,0.16666666666666652,-2.3978952727983707,1.0397207708399177,0.504708354931819,0.7722145628858683,0.26750620795404934,0.5881300359383385,0.6376523119575754,0.04952227601923698,0.04952227601923698
1,8,8,-0.8333333333333334,0.33333333333333326,0.33333333333333326,-2.3978952727983707,1.0397207708399177,1.0397207708399177,1.0397207708399177,0.0,0.49999999821737123,0.44880790211414534,-0.05119209610322589,0.05119209610322589
1,8,9,-0.8333333333333334,0.33333333333333326,0.5,-2.3978952727983707,1.0397207708399177,1.6479184330021646,1.343819601921041,-0.30409883108112346,0.3994536173321672,0.3424006824970317,-0.057052934835135516,0.057052934835135516
1,8,10,-0.8333333333333334,0.33333333333333326,0.6666666666666665,-2.3978952727983707,1.0397207708399177,2.41415686865115,1.7269388197455338,-0.6872180489056161,0.3341766710354577,0.29179628036039607,-0.04238039067506161,0.04238039067506161
1,8,11,-0.8333333333333334,0.33333333333333326,0.8333333333333333,-2.3978952727983707,1.0397207708399177,3.596842909197555,2.318281840018736,-1.2785610691788187,0.33333337126952645,0.333319776421265,-1.359484826146673e-05,1.359484826146673e-05
1,9,1,-0.8333333333333334,0.5,-0.8333333333333334,-2.3978952727983707,1.6479184330021646,-3.596842909197556,-0.9744622380976957,2.6223806710998603,0.33340226813131923,0.3333333228917196,-6.894523959966037e-05,6.894523959966037e-05
1,9,2,-0.8333333333333334,0.5,-0.6666666666666667,-2.3978952727983707,1.6479184330021646,-2.414156868651151,-0.3831192178244933,2.031037650826658,0.37332653918023856,0.3336121431140536,-0.03971439606618493,0.03971439606618493
1,9,3,-0.8333333333333334,0.5,-0.5,-2.3978952727983707,1.6479184330021646,-1.6479184330021646,0.0,1.6479184330021646,0.49999999999726774,0.4902002638858044,-0.009799736111463342,0.009799736111463342
1,9,4,-0.8333333333333334,0.5,-0.33333333333333337,-2.3978952727983707,1.6479184330021646,-1.039720770839918,0.30409883108112323,1.3438196019210413,0.6005463667048111,0.6634106741351706,0.06286430743035953,0.06286430743035953
1,9,5,-0.8333333333333334,0.5,-0.16666666666666674,-2.3978952727983707,1.6479184330021646,-0.5047083549318196,0.5716050390351725,1.0763133939669922,0.6655115699750996,0.6666633991413564,0.0011518291662567792,0.0011518291662567792
1,9,6,-0.8333333333333334,0.5,0.0,-2.3978952727983707,1.6479184330021646,0.0,0.8239592165010823,0.8239592165010823,0.6657259668977111,0.6666666490846129,0.0009406821869017978,0.0009406821869017978
1,9,7,-0.8333333333333334,0.5,0.16666666666666652,-2.3978952727983707,1.6479184330021646,0.504708354931819,1.0763133939669918,0.5716050390351728,0.6655115699570181,0.6666656966543143,0.0011541266972961983,0.0011541266972961983
1,9,8,-0.8333333333333334,0.5,0.33333333333333326,-2.3978952727983707,1.6479184330021646,1.0397207708399177,1.343819601921041,0.30409883108112346,0.6005463666921137,0.6512276016129936,0.05068123492087995,0.05068123492087995
1,9,9,-0.8333333333333334,0.5,0.5,-2.3978952727983707,1.6479184330021646,1.6479184330021646,1.6479184330021646,0.0,0.49999999998042577,0.44880860702131664,-0.05119139295910913,0.05119139295910913
1,9,10,-0.8333333333333334,0.5,0.6666666666666665,-2.3978952727983707,1.6479184330021646,2.41415686865115,2.031037650826657,-0.38311921782449265,0.37332653918593944,0.3333572073151826,-0.03996933187075685,0.03996933187075685
1,9,11,-0.8333333333333334,0.5,0.8333333333333333,-2.3978952727983707,1.6479184330021646,3.596842909197555,2.62238067109986,-0.9744622380976953,0.3334022681311207,0.3333333335876203,-6.893454350043182e-05,6.893454350043182e-05
1,10,1,-0.8333333333333334,0.6666666666666665,-0.8333333333333334,-2.3978952727983707,2.41415686865115,-3.596842909197556,-0.5913430202732031,3.005499888924353,0.334435147632066,0.33333361024737773,-0.001101537384688267,0.001101537384688267
1,10,2,-0.8333333333333334,0.6666666666666665,-0.6666666666666667,-2.3978952727983707,2.41415686865115,-2.414156868651151,-6.661338147750939e-16,2.4141568686511503,0.49999999996239175,0.4902002633911138,-0.009799736571277973,0.009799736571277973
1,10,3,-0.8333333333333334,0.6666666666666665,-0.5,-2.3978952727983707,2.41415686865115,-1.6479184330021646,0.38311921782449265,2.031037650826657,0.6266734608107674,0.6663620605090759,0.03968859969830851,0.03968859969830851
1,10,4,-0.8333333333333334,0.6666666666666665,-0.33333333333333337,-2.3978952727983707,2.41415686865115,-1.039720770839918,0.6872180489056159,1.726938819745534,0.6658233289658531,0.666666585336585,0.0008432563707319041,0.0008432563707319041
1,10,5,-0.8333333333333334,0.6666666666666665,-0.16666666666666674,-2.3978952727983707,2.41415686865115,-0.5047083549318196,0.9547242568596651,1.4594326117914846,0.6665445118629812,0.6666666596877118,0.000122147824730523,0.000122147824730523
1,10,6,-0.8333333333333334,0.6666666666666665,0.0,-2.3978952727983707,2.41415686865115,0.0,1.207078434325575,1.207078434325575,0.6666665663052851,0.6666666666074825,1.0030219743661917e-07,1.0030219743661917e-07
1,10,7,-0.8333333333333334,0.6666666666666665,0.16666666666666652,-2.3978952727983707,2.41415686865115,0.504708354931819,1.4594326117914844,0.9547242568596654,0.6665445118639372,0.6666666599038977,0.000122148039960579,0.000122148039960579
1,10,8,-0.8333333333333334,0.6666666666666665,0.33333333333333326,-2.3978952727983707,2.41415686865115,1.0397207708399177,1.7269388197455338,0.6872180489056161,0.6658233289665497,0.6666665335422677,0.0008432045757179596,0.0008432045757179596
1,10,9,-0.8333333333333334,0.6666666666666665,0.5,-2.3978952727983707,2.41415686865115,1.6479184330021646,2.031037650826657,0.38311921782449265,0.6266734608063737,0.6665114884613115,0.039838027654937824,0.039838027654937824
1,10,10,-0.8333333333333334,0.6666666666666665,0.6666666666666665,-2.3978952727983707,2.41415686865115,2.41415686865115,2.41415686865115,0.0,0.49999999999500633,0.448808607281984,-0.05119139271302231,0.05119139271302231
